hit,s,series
1,30.198,histogram_mapd
2,0.95,histogram_mapd
3,0.97,histogram_mapd
4,0.69,histogram_mapd
5,0.79,histogram_mapd
6,0.66,histogram_mapd
7,0.79,histogram_mapd
8,0.86,histogram_mapd
9,0.83,histogram_mapd
10,0.84,histogram_mapd
11,0.61,histogram_mapd
12,0.7,histogram_mapd
13,0.66,histogram_mapd
14,0.68,histogram_mapd
15,0.61,histogram_mapd
16,0.71,histogram_mapd
17,0.7,histogram_mapd
18,0.63,histogram_mapd
19,0.6,histogram_mapd
20,0.63,histogram_mapd
21,0.62,histogram_mapd
22,0.57,histogram_mapd
23,0.6,histogram_mapd
24,0.59,histogram_mapd
25,0.61,histogram_mapd
26,0.78,histogram_mapd
27,0.66,histogram_mapd
28,0.58,histogram_mapd
29,0.58,histogram_mapd
30,0.64,histogram_mapd
31,0.64,histogram_mapd
32,0.62,histogram_mapd
33,0.69,histogram_mapd
1,3.25,histogram_mongo
2,4.481,histogram_mongo
3,3.807,histogram_mongo
4,4.584,histogram_mongo
5,6.674,histogram_mongo
6,9.568,histogram_mongo
7,8.222,histogram_mongo
8,10.33,histogram_mongo
9,6.825,histogram_mongo
10,5.166,histogram_mongo
11,5,histogram_mongo
12,4.878,histogram_mongo
13,3.41,histogram_mongo
14,3.206,histogram_mongo
15,3.96,histogram_mongo
16,4.602,histogram_mongo
17,8.87,histogram_mongo
18,12.82,histogram_mongo
19,11.805,histogram_mongo
20,11.36,histogram_mongo
21,7.507,histogram_mongo
22,5.211,histogram_mongo
23,5.476,histogram_mongo
24,4.997,histogram_mongo
25,3.186,histogram_mongo
26,3.178,histogram_mongo
27,3.329,histogram_mongo
28,3.309,histogram_mongo
29,3.291,histogram_mongo
30,3.455,histogram_mongo
31,3.427,histogram_mongo
32,3.24,histogram_mongo
33,4.799,histogram_mongo
1,33.974,histogram_mysql
2,3.739,histogram_mysql
3,3.722,histogram_mysql
4,3.767,histogram_mysql
5,3.814,histogram_mysql
6,3.933,histogram_mysql
7,3.942,histogram_mysql
8,3.722,histogram_mysql
9,3.748,histogram_mysql
10,3.931,histogram_mysql
11,3.853,histogram_mysql
12,3.879,histogram_mysql
13,3.768,histogram_mysql
14,3.773,histogram_mysql
15,3.809,histogram_mysql
16,3.784,histogram_mysql
17,3.776,histogram_mysql
18,3.778,histogram_mysql
19,3.754,histogram_mysql
20,3.775,histogram_mysql
21,3.713,histogram_mysql
22,3.989,histogram_mysql
23,3.729,histogram_mysql
24,3.765,histogram_mysql
25,3.772,histogram_mysql
26,3.798,histogram_mysql
27,3.816,histogram_mysql
28,3.784,histogram_mysql
29,3.845,histogram_mysql
30,3.944,histogram_mysql
31,3.736,histogram_mysql
32,3.757,histogram_mysql
33,3.784,histogram_mysql
